,nombre,,,,
,,,,HAMBURGESAS,PRECIOS
,,,,HAMBURGESA VIKINGA,"$ 800"
,,,,HAMBURGUESA CLASICA,"$ 700"
,,,,HAMBURGUESA CRIOLLA,"$ 700"
,,,,HAMBURGUESA BARBACOA,"$ 700"
,,,,ADICIONAL SALSA,"$ 100"
,,,,,
,,,,PIZZAS,
,,,,PIZZA MUZZA,"$ 950"
,,,,PIZZA ESPECIAL,"$ 1.100"
,,,,PIZZA NAPOLITANA,"$ 1.100"
,,,,PIZZA CALABRESA,"$ 1.100"
,,,,PIZZA ROQUEFORT,"$ 1.100"
,,,,PIZZA 4 QUESOS,"$ 1.100"
,,,,PIZZA BARBACOA,"$ 1.100"
,,,,PIZZA FUGAZZETA,"$ 1.100"
,,,,PIZZA RUCULA,"$ 1.300"
,,,,PIZZA ANCHOAS,"$ 1.300"
,,,,PIZZA BACON,"$ 1.300"
,,,,,
,,,,,
,,,,,
,,,,MILANESAS,
,,,,MILANESA NAPOLITANA,"$ 850"
,,,,MILANESA CEBOLLA,"$ 850"
,,,,MILANESA RUCULA,"$ 850"
,,,,MILANESA VERDEO,"$ 850"
,,,,ADICIONAL SALSAS,"$ 100"
,,,,,
,,,,,
,,,,SANDWICHES,
,,,,SUPER PANCHOS ,"$ 300"
,,,,MILANESA SANDWICH,"$ 850"
,,,,LOMITO,"$ 950"
,,,,TOSTADOS,"$ 500"
,,,,SANDWICH FLOKI,"$ 700"
,,,,,
,,,,PICADAS,
,,,,PICADA PARA 2,"$ 2.100"
,,,,PICADA PARA 4,"$ 4.000"
,,,,,
,,,,PAPAS FRITAS ,
,,,,PAPAS SOLAS,"$ 350"
,,,,PAPAS VERDEO,"$ 450"
,,,,PAPAS CHEDDAR,"$ 450"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,POSTRES,
,,,,BOMBON ESCOCES,"$ 300"
,,,,VASO DOS GUSTOS,"$ 350"
,,,,TORTA IMPERIAL ,"$ 500"
,,,,TORTA BOMBON ,"$ 500"
,,,,HELADO TRES GUSTOS,"$ 300"
,,,,PALITO BOMBON ,"$ 200"
,,,,FLAN ,"$ 400"
,,,,,
,,,,,
,,,,CERVEZAS,
,,,,CERVEZA BRAHAMA,"$ 500"
,,,,CERVEZA HEINEKEN,"$ 600"
,,,,CERVEZA QUILMES,"$ 500"
,,,,STELLA,"$ 650"
,,,,CORONA 710,"$ 750"
,,,,BRAHMA DORADA 710,"$ 750"
,,,,LATA BRAHAMA,"$ 300"
,,,,,
,,,,BEBIDAS SIN ALCOHOL ,
,,,,COCA BOTELLA 1.5,"$ 500"
,,,,FANTA BOTELLA 1.5,"$ 500"
,,,,SPRITE BOTELLA 1.5,"$ 500"
,,,,SHWEPES POMELO BOTELLA 1.5,"$ 500"
,,,,SHWEPES TONICA BOTELLA 1.5,"$ 500"
,,,,AQUARIUS BOTELLA 1.5,"$ 500"
,,,,AGUA CHICA,"$ 200"
,,,,SODA CHICA,"$ 200"
,,,,VASO GASEOSA,"$ 150"
,,,,VINOS ,
,,,,VINO DON VALENTIN LACRADO ,"$ 500"
,,,,VINO BENJAMIN MALBEC,"$ 600"
,,,,VINO EMILIA MALBEC,"$ 900"
,,,,VINO DON DAVID,"$ 1.600"
,,,,VINO COSECHA TARDIA,"$ 600"
,,,,,
,,,,,
,,,,,
,,,,CAFE,"$ 200"
,,,,CORTADO,"$ 200"
,,,,CAPUCHINO,"$ 300"